Days_to_Flowering;Days_to_Maturity;First_Pod_Height_cm;Branch_Number;Plant_Height_cm;Biological_Yield_g;Pod_Number;Pod_Weight_g;Pod_Length_cm;Seeds_per_Pod;Seeds_per_Plant;Single_Plant_Yield_g;Plot_Yield_kg_da;Seed_Weight_100_g;Pod_Filling_Rate;Seed_to_Pod_Ratio;Seed_Unit_Weight;Pod_Length_Yield_Index;Plant_Yield_Ratio;Vegetation_Period_days
48;107;32.0;2.92;78.0;22.53;7.859999999999999;29.520000000000003;7.4;3.1999999999999997;16.5;16.740000000000002;128.63;119.92;3.7509529860228725;2.0965692503176623;1.788007268322229;3.9838056680161946;2.8627700127064806;59
50;110;28.6;3.1;74.0;19.48;8.25;32.510000000000005;8.2;2.8000000000000003;18.7;12.75;132.41;162.47;3.935835351089589;2.263922518159806;1.7375734901122397;3.959805115712547;2.358353510895884;60
47;109;34.6;2.4;82.0;27.51;9.599999999999998;44.52;7.8;3.6;19.0;15.430000000000001;147.26;154.32;4.632674297606661;1.9771071800208122;2.341925302472383;5.700384122919335;2.862643080124871;62
45;110;18.9;1.8391899999999999;68.44149999999999;21.419999999999995;7.2;12.170000000000002;6.119999999999999;2.4000000000000004;13.2;9.36;131.11;108.95;1.6879334257975036;1.8307905686546462;0.9212717638152916;1.985318107667211;2.970873786407766;65
45;110;27.6;3.2000000000000006;64.79999999999998;23.069999999999997;4.6000000000000005;11.89;7.3;2.5999999999999996;9.6;9.03;134.14;137.53;2.579175704989154;2.0824295010845986;1.2372528616024976;1.6265389876880987;5.004338394793925;65
45;110;24.2;2.4;66.0;24.54;5.0;9.95;8.099999999999998;3.6000000000000005;9.599999999999998;7.67;39.27;73.25;1.9860279441117763;1.9161676646706582;1.0353798126951095;1.2268803945745996;4.8982035928143715;65
52;110;37.0;3.4;82.8;33.82;8.2;17.259999999999998;7.4;2.4;17.6;13.41;107.51;110.5;2.10231425091352;2.1437271619975644;0.9801249290176034;2.3292847503373815;4.119366626065774;58
45;111;25.8;3.4;81.4;32.58;6.8;14.84;6.9;2.5999999999999996;10.6;11.06;182.06;142.35;2.1791483113069017;1.5565345080763584;1.3986804901036758;2.1476121562952244;4.784140969162996;66
45;111;51.4;3.6;98.2;45.26;5.6;12.200000000000001;7.7;2.3999999999999995;10.4;9.470000000000002;110.81;139.9;2.1746880570409988;1.8538324420677363;1.1719500480307397;1.582360570687419;8.067736185383245;66
50;111;41.6;3.0;89.4;40.0;9.8;16.0;7.2;2.3999999999999995;14.399999999999997;11.84;145.91;117.98;1.6309887869520896;1.4678899082568804;1.1103400416377518;2.219140083217753;4.077471967380224;61
